			Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance	
Facility	TimeStamp	Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)
US 75 Frontage Rd Southbound	1:25:00	Car	11178	100	17186.3	1.54	4221.96	0.38	8588.84	0.77			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	11178	100	17224.7	1.54	4228.98	0.38	8610.74	0.77			Truck	24	N/A	38.4	1.6	7.03	0.29	21.89	0.91
US 75 HOV Northbound	1:25:00	Car	248	100	1336.4	5.39	30.37	0.12	1347.27	5.43			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	248	100	1336.4	5.39	30.37	0.12	1347.27	5.43			Truck	0	N/A	0	0	0	0	0	0
US 75 HOV Southbound	1:25:00	Car	102	100	594	5.82	20.92	0.21	602.93	5.91			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	102	100	594	5.82	20.92	0.21	602.93	5.91			Truck	0	N/A	0	0	0	0	0	0
US 75 Northbound	1:25:00	Car	8075	100	52652.39	6.52	10629.53	1.32	46929.39	5.81			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	8075	100	52695.59	6.53	10634.65	1.32	46971.71	5.82			Truck	6	N/A	43.2	7.2	5.13	0.85	42.32	7.05
US 75 Southbound	1:25:00	Car	5962	100	37669.42	6.32	4276.47	0.72	37429.41	6.28			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	5962	100	37724.82	6.33	4281.03	0.72	37486.12	6.29			Truck	7	N/A	55.4	7.91	4.56	0.65	56.71	8.1
Entire System	1:30:00	Car	64918	98.35	513283.94	7.91	117210.41	1.81	302260.88	4.66			Bus	0	0	0	0	0	0	0	0			Rail	1086	1.65	9599.3	8.84	673.9	0.62	9347.65	8.61			Park and Ride	0	0	0	0	0	0	0	0			Total	66004	100	523676.5	7.93	118075.88	1.79	312028.19	4.73			Truck	25	N/A	793.3	31.73	191.57	7.66	419.79	16.79
Greenville Ave Northbound	1:30:00	Car	4953	100	13417.8	2.71	3082.57	0.62	6469.94	1.31			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	4953	100	13441.6	2.71	3090.73	0.62	6479.84	1.31			Truck	9	N/A	23.8	2.64	8.16	0.91	9.9	1.1
Greenville Ave Southbound	1:30:00	Car	2993	100	6997.3	2.34	1376.94	0.46	3538.61	1.18			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	2993	100	7037	2.35	1386.53	0.46	3557.78	1.19			Truck	9	N/A	39.7	4.41	9.59	1.07	19.17	2.13
IH 635 Eastbound	1:30:00	Car	4639	100	27196.6	5.86	9893.96	2.13	19697.68	4.25			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	4639	100	27196.6	5.86	9893.96	2.13	19697.68	4.25			Truck	0	N/A	0	0	0	0	0	0
IH 635 Westbound	1:30:00	Car	2888	100	9247.51	3.2	575.79	0.2	9911.71	3.43			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	2888	100	9247.51	3.2	575.79	0.2	9911.71	3.43			Truck	0	N/A	0	0	0	0	0	0
