			Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance	
Facility	TimeStamp	Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)
US 75 HOV Northbound	0:30:00	Car	60	100	302.2	5.04	7.91	0.13	303.8	5.06			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	60	100	302.2	5.04	7.91	0.13	303.8	5.06			Truck	0	N/A	0	0	0	0	0	0
US 75 HOV Southbound	0:30:00	Car	56	100	384.8	6.87	13.26	0.24	386.06	6.89			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	56	100	384.8	6.87	13.26	0.24	386.06	6.89			Truck	0	N/A	0	0	0	0	0	0
US 75 Northbound	0:30:00	Car	4804	100	32602.41	6.79	7498.49	1.56	28082.32	5.85			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	4804	100	32632.01	6.79	7500.42	1.56	28113.34	5.85			Truck	5	N/A	29.6	5.92	1.93	0.39	31.02	6.2
US 75 Southbound	0:30:00	Car	4688	100	28637.6	6.11	2784.24	0.59	29125.06	6.21			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	4688	100	28657.6	6.11	2785.37	0.59	29146.32	6.22			Truck	3	N/A	20	6.67	1.13	0.38	21.26	7.09
Entire System	0:35:00	Car	55791	98.74	439396.78	7.88	85392.52	1.53	264207.94	4.74			Bus	0	0	0	0	0	0	0	0			Rail	714	1.26	8167.2	11.44	553.08	0.77	7983.6	11.18			Park and Ride	0	0	0	0	0	0	0	0			Total	56505	100	448126.03	7.93	86068.38	1.52	272491.81	4.82			Truck	4	N/A	561.8	140.45	122.79	30.7	300.33	75.08
Greenville Ave Northbound	0:35:00	Car	4012	100	8728.5	2.18	1747.94	0.44	4303.44	1.07			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	4012	100	8741.3	2.18	1750	0.44	4310.45	1.07			Truck	2	N/A	12.8	6.4	2.06	1.03	7.01	3.5
Greenville Ave Southbound	0:35:00	Car	2889	100	7321.6	2.53	1317.18	0.46	3770.5	1.31			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	2889	100	7328.8	2.54	1317.9	0.46	3774.43	1.31			Truck	4	N/A	7.2	1.8	0.72	0.18	3.94	0.98
IH 635 Eastbound	0:35:00	Car	3786	100	17302.51	4.57	3541.69	0.94	15709.69	4.15			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	3786	100	17302.51	4.57	3541.69	0.94	15709.68	4.15			Truck	0	N/A	0	0	0	0	0	0
IH 635 Westbound	0:35:00	Car	2479	100	8415.8	3.39	493.27	0.2	9007.98	3.63			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	2479	100	8415.8	3.39	493.27	0.2	9007.98	3.63			Truck	0	N/A	0	0	0	0	0	0
SH 190 Eastbound	0:35:00	Car	675	100	2233	3.31	120.07	0.18	2432.81	3.6			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	675	100	2233	3.31	120.07	0.18	2432.81	3.6			Truck	0	N/A	0	0	0	0	0	0
