			Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance	
Facility	TimeStamp	Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)
SH 190 Eastbound	0:40:00	Car	711	100	2254.7	3.17	122.35	0.17	2461.59	3.46			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	711	100	2254.7	3.17	122.35	0.17	2461.59	3.46			Truck	0	N/A	0	0	0	0	0	0
SH 190 Westbound	0:40:00	Car	1097	100	3926.6	3.58	247.56	0.23	4197.59	3.83			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	1097	100	3926.6	3.58	247.56	0.23	4197.59	3.83			Truck	0	N/A	0	0	0	0	0	0
US 75 Frontage Rd Northbound	0:40:00	Car	11151	100	17231.61	1.55	4324.49	0.39	8777.89	0.79			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	11151	100	17260.01	1.55	4331.19	0.39	8793.06	0.79			Truck	12	N/A	28.4	2.37	6.7	0.56	15.18	1.26
US 75 Frontage Rd Southbound	0:40:00	Car	11310	100	17456.4	1.54	3573.66	0.32	9231.13	0.82			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	11310	100	17500.3	1.55	3580.99	0.32	9256.26	0.82			Truck	14	N/A	43.9	3.14	7.33	0.52	25.12	1.79
US 75 HOV Northbound	0:40:00	Car	92	100	559.6	6.08	14.59	0.16	564.31	6.13			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	92	100	559.6	6.08	14.59	0.16	564.31	6.13			Truck	0	N/A	0	0	0	0	0	0
US 75 HOV Southbound	0:40:00	Car	76	100	514.4	6.77	18.05	0.24	518.18	6.82			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	76	100	514.4	6.77	18.05	0.24	518.18	6.82			Truck	0	N/A	0	0	0	0	0	0
US 75 Northbound	0:40:00	Car	6168	100	42390.21	6.87	10310.69	1.67	35849.88	5.81			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	6168	100	42435.71	6.88	10313.9	1.67	35897.07	5.82			Truck	6	N/A	45.5	7.58	3.21	0.53	47.18	7.86
US 75 Southbound	0:40:00	Car	6011	100	36997.41	6.15	3627.59	0.6	37687.71	6.27			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	6011	100	37016.21	6.16	3628.99	0.6	37707.4	6.27			Truck	3	N/A	18.8	6.27	1.4	0.47	19.69	6.56
Entire System	0:45:00	Car	62426	98.52	477811.41	7.65	95795.65	1.53	287112.12	4.6			Bus	0	0	0	0	0	0	0	0			Rail	938	1.48	9275.8	9.89	699.98	0.75	8998.57	9.59			Park and Ride	0	0	0	0	0	0	0	0			Total	63364	100	487685.47	7.7	96629.78	1.52	296431.94	4.68			Truck	11	N/A	598.2	54.38	134.15	12.2	321.2	29.2
Greenville Ave Northbound	0:45:00	Car	4664	100	11215.6	2.4	2389.74	0.51	5466.58	1.17			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	4664	100	11229.5	2.41	2393.19	0.51	5473.38	1.17			Truck	4	N/A	13.9	3.47	3.45	0.86	6.79	1.7
