			Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance	
Facility	TimeStamp	Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)
US 75 Southbound	1:05:00	Car	6212	100	38024.73	6.12	3529.27	0.57	39056.33	6.29			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	6212	100	38066.93	6.13	3532.2	0.57	39100.6	6.29			Truck	7	N/A	42.2	6.03	2.93	0.42	44.27	6.32
Entire System	1:10:00	Car	63602	98.37	479253.44	7.54	95155.84	1.5	290317.34	4.56			Bus	0	0	0	0	0	0	0	0			Rail	1052	1.63	9436.4	8.97	699.89	0.67	9168.99	8.72			Park and Ride	0	0	0	0	0	0	0	0			Total	64654	100	489463.78	7.57	96029	1.49	299895.41	4.64			Truck	14	N/A	773.9	55.28	173.27	12.38	409.18	29.23
Greenville Ave Northbound	1:10:00	Car	4817	100	12448.5	2.58	2944.36	0.61	5933.86	1.23			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	4817	100	12464.6	2.59	2948.74	0.61	5941.02	1.23			Truck	8	N/A	16.1	2.01	4.38	0.55	7.16	0.89
Greenville Ave Southbound	1:10:00	Car	3079	100	7507.29	2.44	1378.71	0.45	3869.12	1.26			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	3079	100	7529.69	2.45	1382.76	0.45	3880.2	1.26			Truck	7	N/A	22.4	3.2	4.05	0.58	11.08	1.58
IH 635 Eastbound	1:10:00	Car	4344	100	20042.61	4.61	4425.93	1.02	17868.19	4.11			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	4344	100	20042.61	4.61	4425.93	1.02	17868.19	4.11			Truck	0	N/A	0	0	0	0	0	0
IH 635 Westbound	1:10:00	Car	2753	100	9182.71	3.34	551.84	0.2	9848.59	3.58			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	2753	100	9182.71	3.34	551.84	0.2	9848.59	3.58			Truck	0	N/A	0	0	0	0	0	0
SH 190 Eastbound	1:10:00	Car	782	100	2435.6	3.11	132.24	0.17	2657.07	3.4			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	782	100	2435.6	3.11	132.24	0.17	2657.07	3.4			Truck	0	N/A	0	0	0	0	0	0
SH 190 Westbound	1:10:00	Car	1105	100	3676.3	3.33	234.75	0.21	3935.63	3.56			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	1105	100	3676.3	3.33	234.75	0.21	3935.63	3.56			Truck	0	N/A	0	0	0	0	0	0
US 75 Frontage Rd Northbound	1:10:00	Car	11861	100	18553.4	1.56	5195.28	0.44	9062.23	0.76			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	11861	100	18596.8	1.57	5209.75	0.44	9082.69	0.77			Truck	19	N/A	43.4	2.28	14.47	0.76	20.46	1.08
US 75 Frontage Rd Southbound	1:10:00	Car	11348	100	17668.71	1.56	3929.9	0.35	9128.76	0.8			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	11348	100	17687.71	1.56	3934.47	0.35	9138.78	0.81			Truck	15	N/A	19	1.27	4.57	0.3	10.02	0.67
US 75 HOV Northbound	1:10:00	Car	92	100	533	5.79	12.73	0.14	550.76	5.99			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	92	100	533	5.79	12.73	0.14	550.76	5.99			Truck	0	N/A	0	0	0	0	0	0
US 75 HOV Southbound	1:10:00	Car	76	100	434.4	5.72	16.72	0.22	436.84	5.75			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	76	100	434.4	5.72	16.72	0.22	436.84	5.75			Truck	0	N/A	0	0	0	0	0	0
US 75 Northbound	1:10:00	Car	6932	100	44795.17	6.46	9724.6	1.4	39340.41	5.68			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	6932	100	44834.67	6.47	9729.45	1.4	39379.25	5.68			Truck	5	N/A	39.5	7.9	4.85	0.97	38.85	7.77
US 75 Southbound	1:10:00	Car	6314	100	38272.64	6.06	3565.6	0.56	39316.81	6.23			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	6314	100	38320.84	6.07	3568.95	0.57	39367.64	6.23			Truck	9	N/A	48.2	5.36	3.35	0.37	50.83	5.65
Entire System	1:15:00	Car	63997	98.35	483649	7.56	97965.16	1.53	292406.09	4.57			Bus	0	0	0	0	0	0	0	0			Rail	1075	1.65	10030.2	9.33	724.19	0.67	9762.09	9.08			Park and Ride	0	0	0	0	0	0	0	0			Total	65072	100	494459.41	7.6	98864.94	1.52	302584.34	4.65			Truck	19	N/A	780.3	41.07	175.58	9.24	416.07	21.9
Greenville Ave Northbound	1:15:00	Car	4904	100	12586.9	2.57	2998.01	0.61	6000.55	1.22			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	4904	100	12599.4	2.57	3001.53	0.61	6005.94	1.22			Truck	7	N/A	12.5	1.79	3.52	0.5	5.39	0.77
Greenville Ave Southbound	1:15:00	Car	3045	100	7236	2.38	1309.89	0.43	3733.73	1.23			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	3045	100	7261.79	2.38	1314.95	0.43	3746.26	1.23			Truck	10	N/A	25.8	2.58	5.06	0.51	12.53	1.25
IH 635 Eastbound	1:15:00	Car	4440	100	21446.12	4.83	5708.38	1.29	18008.29	4.06			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	4440	100	21446.12	4.83	5708.38	1.29	18008.29	4.06			Truck	0	N/A	0	0	0	0	0	0
IH 635 Westbound	1:15:00	Car	2751	100	8993.11	3.27	545.05	0.2	9637.78	3.5			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	2751	100	8993.11	3.27	545.05	0.2	9637.78	3.5			Truck	0	N/A	0	0	0	0	0	0
SH 190 Eastbound	1:15:00	Car	788	100	2556	3.24	137.49	0.17	2782.92	3.53			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	788	100	2556	3.24	137.49	0.17	2782.92	3.53			Truck	0	N/A	0	0	0	0	0	0
SH 190 Westbound	1:15:00	Car	1103	100	3641.3	3.3	231.38	0.21	3890.83	3.53			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	1103	100	3641.3	3.3	231.38	0.21	3890.83	3.53			Truck	0	N/A	0	0	0	0	0	0
